#{"t_start": 1780398861.2305164, "env_id": "None"}
r,l,t
37.964966,21,1.584472
35.778862,25,1.746783
37.786385,26,1.88556
36.933758,26,1.885623
32.151543,30,2.013317
33.518597,32,2.138012
31.70235,41,2.274875
31.243204,42,2.410409
27.685045,42,2.410445
31.85497,43,2.529186
27.800734,45,2.642623
21.546976,51,2.80434
27.807726,55,2.932619
21.823242,56,3.040971
24.310205,61,3.194226
25.803652,45,3.326116
15.688635,69,3.472586
34.523994,27,3.583037
37.005447,29,3.725167
11.735899,71,3.72522
33.78361,33,3.897501
29.205074,46,4.000813
14.897025,78,4.144103
27.26611,49,4.285737
13.154125,81,4.28577
28.599018,41,4.393219
4.1310725,99,4.554934
38.083073,27,4.680774
-1.2114589,101,4.680822
28.195599,43,4.823698
-4.805612,115,4.956471
-7.454012,115,4.956512
31.113815,41,5.086349
18.568962,72,5.086409
-2.8432422,120,5.212072
20.80751,57,5.345366
-16.89508,131,5.451971
39.572807,18,5.608446
-21.281475,134,5.75431
36.816376,26,5.940073
23.221064,73,6.079195
33.955288,34,6.216233
0.527713,99,6.322955
4.6253443,97,6.448484
16.733458,70,6.589646
37.032883,27,6.707746
10.5407095,95,6.869367
24.662672,66,6.994449
40.302692,18,7.185279
31.061323,39,7.32885
-10.281311,120,7.485288
-208.98776,200,7.677111
-125.75812,200,7.677168
-101.01641,200,7.677178
-581.7123,200,7.677184
-101.73142,200,7.677191
-102.7357,200,7.677196
32.8477,37,7.797109
16.376953,57,7.92965
-28.91467,132,8.059573
13.171553,71,8.174461
4.909684,83,8.321559
18.277824,73,8.438722
36.895153,23,8.5524
-87.78306,200,8.713092
-27.70831,169,8.713139
-195.93878,200,8.839076
-92.85268,200,8.83912
34.735176,30,8.958936
39.028492,23,9.097444
29.974457,44,9.25475
-21.605154,149,9.402402
26.339664,54,9.555065
23.767076,60,9.701688
-111.41579,200,9.830071
14.402875,65,9.952542
31.468575,41,10.083678
29.888823,45,10.254082
-99.32353,200,10.254122
29.940304,46,10.377861
-108.449905,200,10.526348
-67.77509,185,10.692938
37.652596,21,10.693017
27.533401,40,10.693026
-26.687843,158,10.825523
39.646454,22,10.825833
1.2717013,105,10.968474
-45.624474,151,10.968527
14.421896,80,11.076957
29.532936,48,11.205069
33.432434,33,11.312492
34.60667,32,11.44504
28.230064,45,11.568759
-169.23676,200,11.71633
0.03812791,87,11.83011
-44.50304,156,11.978224
-88.372635,200,12.11951
36.125813,32,12.229926
-393.96597,200,12.384908
35.86993,26,12.384948
-3.584899,96,12.505473
30.145483,36,12.647033
-88.09002,200,12.76031
26.161774,49,12.88782
6.713772,90,13.039489
35.232838,31,13.14201
-98.95132,200,13.288203
-12.8330145,131,13.416431
32.53874,43,13.416493
15.635466,66,13.556394
34.217976,27,13.705785
25.078613,56,13.833206
31.91018,37,13.974382
17.340012,80,14.130071
-139.57263,200,14.130101
33.11263,35,14.295248
-23.207962,150,14.295302
-13.485202,99,14.404922
-169.31479,200,14.563277
-102.968925,200,14.681367
-3.0418415,121,14.796097
13.1101055,73,14.962047
34.275208,32,15.117146
-10.610477,102,15.251705
-93.18561,200,15.381779
-5.7720265,122,15.512868
-150.68959,200,15.645195
30.816027,32,15.77102
6.4671326,89,15.911448
27.068989,48,16.031442
22.708181,66,16.137568
19.257236,69,16.263019
-51.804703,154,16.375252
-110.83948,200,16.52685
37.7889,27,16.5269
30.319036,38,16.662844
28.19743,52,16.811421
37.533176,25,16.811465
-1.3737835,120,16.811474
-0.3653415,114,16.954878
37.762447,22,17.098063
32.970802,40,17.236561
28.759542,39,17.382997
36.383785,28,17.499672
-112.82747,200,17.628103
34.793667,32,17.740712
-48.04727,179,17.863336
20.803562,55,17.994898
31.031435,48,18.097484
12.0624695,60,18.224902
20.475067,67,18.371599
21.911697,62,18.53445
33.175514,32,18.665351
28.28843,43,18.66538
14.236073,84,18.836015
-102.555275,200,18.836057
-124.047554,200,18.962195
0.15797412,89,19.075974
25.23286,53,19.187565
37.08926,24,19.338655
31.628511,42,19.449065
26.447353,45,19.601654
-29.826515,184,19.744424
-84.22116,200,19.892915
-9.817561,129,20.027414
-194.7434,200,20.152314
25.571932,57,20.269844
12.21116,72,20.411459
18.986319,63,20.53933
-95.64572,200,20.672329
38.283108,27,20.811229
26.670984,57,20.938255
35.58079,32,21.085576
33.12149,42,21.085606
37.132156,30,21.223496
-112.73996,200,21.339615
25.06438,55,21.48616
15.64803,73,21.607035
30.287838,54,21.730819
22.12176,63,21.846325
3.7057567,95,21.980506
38.512398,21,22.092174
24.228403,57,22.206118
37.123558,25,22.324648
22.976585,56,22.430252
4.9250183,76,22.544736
34.47266,35,22.544788
-29.342012,153,22.704959
-29.045622,153,22.705001
-94.909996,200,22.70501
31.73834,28,22.874413
-105.75293,200,22.874464
37.698204,25,22.980505
-125.26392,200,23.107858
-212.4671,200,23.257496
15.442897,60,23.43139
-32.082203,183,23.531867
31.052282,35,23.680691
-100.588524,200,23.680738
33.44842,38,23.830031
10.486982,85,23.954924
24.541473,47,23.954977
33.649055,41,24.101269
36.523712,29,24.211127
-98.31978,200,24.330867
-39.53172,193,24.458934
-74.39471,196,24.611927
31.165146,42,24.756358
34.155807,31,24.927649
7.5424247,92,24.927708
36.014076,32,24.927716
-39.225117,102,25.068231
32.709282,33,25.207448
-7.742465,118,25.311502
25.205347,43,25.446649
18.78993,56,25.563787
30.9898,43,25.740378
-127.13331,200,25.740424
33.684776,32,25.857887
18.394846,53,25.977878
-25.284872,162,26.09952
8.862685,92,26.263786
37.18688,28,26.425305
35.100418,33,26.552409
-41.763634,171,26.727124
21.469145,58,26.727181
31.757465,31,26.727193
30.874367,32,26.882991
-27.631424,131,27.016814
30.282803,36,27.142574
-15.191694,135,27.266462
35.777523,26,27.37107
37.160576,24,27.482297
35.7674,34,27.607862
-44.869198,173,27.607906
1.8568299,91,27.741795
-0.6538476,113,27.860994
33.87775,36,27.975178
-110.3729,200,28.115286
7.8615165,86,28.253573
-24.138735,148,28.36924
16.683006,73,28.545657
36.76647,26,28.682413
31.880138,42,28.682443
12.883981,74,28.682449
25.058037,52,28.799267
6.482779,101,28.936228
-15.189455,111,28.936267
33.904095,29,29.060752
5.546068,91,29.168022
40.13528,21,29.30683
-97.91765,200,29.452222
-3.2963011,121,29.566408
30.32512,38,29.742547
35.242374,30,29.856383
24.059166,58,29.981324
-106.16317,200,30.135866
22.901823,55,30.250111
-99.55962,200,30.404155
-90.11816,200,30.404202
37.253273,27,30.546856
-96.77229,200,30.680876
8.501839,88,30.799626
16.409039,62,30.933408
21.792137,60,31.053162
40.384476,20,31.175129
34.20263,30,31.335492
21.712961,50,31.447721
35.88614,28,31.574223
-103.65712,200,31.71901
-19.263115,131,31.849934
-100.41875,200,31.953956
26.130281,45,31.953988
33.812546,27,32.07709
-9.376214,122,32.217304
35.16609,28,32.330718
-4.7999806,99,32.451224
-98.94988,200,32.579534
10.084626,94,32.706068
-20.160435,157,32.827824
-64.394325,146,32.982599
37.06891,26,33.098151
21.806316,67,33.276213
33.91552,31,33.27627
31.471169,43,33.276279
16.107355,79,33.412504
-16.491114,124,33.527247
-110.378815,200,33.692637
-18.785446,132,33.813916
-107.08051,200,33.936649
25.857,46,34.06959
10.719024,76,34.069624
16.99665,66,34.213344
38.90342,27,34.336649
22.790558,51,34.455219
-48.636024,148,34.576044
18.86687,68,34.716997
36.182484,36,34.835973
35.114014,26,34.983798
-92.386536,200,35.122678
-111.2082,200,35.246214
-102.952995,200,35.415639
35.532093,27,35.530915
-93.30041,200,35.642319
39.33701,24,35.807744
22.213837,38,35.807786
-27.950806,132,35.938473
21.87692,58,36.062587
1.7446584,95,36.176728
20.650526,56,36.308213
36.87895,35,36.488695
-3.3890224,135,36.632302
-108.45806,200,36.728871
11.282499,75,36.904083
30.38041,42,37.064993
-789.72314,200,37.065049
-71.630844,183,37.210055
20.938103,46,37.327786
33.361942,34,37.327821
-90.0318,200,37.492263
-14.96601,117,37.628909
19.513832,75,37.778853
-54.899685,137,37.927798
-22.509588,172,38.030786
-35.964626,140,38.18741
-36.626816,159,38.296167
-4.2733097,126,38.399682
36.15839,25,38.52458
38.405464,26,38.673331
-1.6532978,118,38.854808
41.51924,18,38.968359
17.329182,72,39.079731
10.246827,85,39.230763
25.356396,42,39.230801
35.072697,30,39.370913
8.4721,97,39.370971
25.972792,46,39.499212
28.855534,45,39.619273
-116.57492,200,39.744882
-158.53334,200,39.866066
31.995457,37,39.995266
4.7219176,90,40.103121
38.225124,26,40.231536
-245.6941,200,40.365389
24.526924,46,40.505875
-110.57707,200,40.642463
-41.210907,194,40.792491
-2.5506322,90,40.792549
31.322458,42,40.792562
-127.050644,200,40.925681
25.950834,62,41.059621
1.6044185,71,41.178901
33.245728,29,41.290926
31.76458,31,41.422297
-251.07657,200,41.546184
25.947708,52,41.69429
37.711163,25,41.694361
19.57089,58,41.815562
29.880247,43,41.932989
29.879475,36,42.064338
40.57336,22,42.231493
19.659605,67,42.231531
-47.14924,166,42.396911
24.175049,57,42.508283
-81.435745,200,42.646158
24.401855,50,42.802671
38.124462,22,42.954609
22.971886,67,43.119595
-109.612274,200,43.25749
20.82969,58,43.422122
-110.69407,200,43.574473
-126.746414,200,43.690335
32.06054,26,43.690365
4.6064453,105,43.819105
-2.9192586,107,43.968639
25.015505,63,44.07961
37.794678,24,44.212827
-119.638016,200,44.355935
39.758392,20,44.471093
-1.8930969,82,44.618747
34.632935,31,44.74739
-38.62274,159,44.884139
37.865257,25,45.005811
4.7809224,102,45.150995
-0.3320123,92,45.318251
20.141634,49,45.318295
13.89915,63,45.444322
14.307736,78,45.572868
30.397814,46,45.572911
26.540815,43,45.734677
-98.08574,200,45.865185
-299.84235,200,45.992507
0.8149979,114,46.118801
34.569817,30,46.25817
12.842852,68,46.37221
32.955368,27,46.506509
-8.937031,83,46.632036
32.016193,36,46.739588
39.600098,30,46.863761
19.1897,63,47.019751
-35.29378,169,47.140255
-125.84498,200,47.253397
3.4305358,75,47.375923
30.335926,46,47.49458
-134.61368,200,47.607556
30.470919,34,47.731825
